sku_id,raw_names,match_name,match_score,final_sku_name,decision
SKU001,"techflow keybord wireles black,brand new wireless keyboard black,wireless keyboard black,techflow wireless keyboard,wireless keyboard,wireless kb black,wireless keybord black,tf wireless keybord black,wireless kb, black (tf),wireless keyboard - black,techflow wireless keyboard black,wordpress wireless kayboard,wireless keybord black tf,wireless keyboard black techflow,tf wireless kb black",wireless keyboard,100.0,wireless keyboard,AUTO
SKU002,"24"" led monitor viewmaster,wired mechanical keyboard - blue switches,monitor 24"" led - viewmaster,wired keyboard of mechanical,led monitor  24inch,mechanical keyboard - rgb backlit,keyboard mechanical wired techflow,led monitr 24in tech vlmaster,mechanical keyboard wired,tech flow mechanical kbd rgb,led monitr 24"",24 inch led mon,wired mechanical keyboard,24 inch led monitor,led monitor 24in - viewmaster",wired keyboard mechanical,66.66666666666667,,NEED_APPROVAL
SKU003,"connectpro usb-c cable - 1m,24 inch led monitor,24"" led monitor,usb c cable â€“ 200cm,usb-c cable â€“ 6ft,usb-c cable 6ft connectpro,usb c cable - 6 ft connpro,usb-c cabel â€“ 2m,connectpro 24 led monitor black,viewmaster led monitor 24in,1m usb-c cable,usb-c cable pack,24 led inch monitor,24"" led monitor  viewmaster,usb-c cable connectpro 6ft,usb-c cable - 6ft,led monitor 24 inch, black",usb c cable,78.26086956521739,,NEED_APPROVAL
SKU004,"external usb drive datavault 1tb,webcam viewmaster 4k,4k webcam viewmaster,27-inch led monitor,hd webcam 4k,monitor lcd 27 inch view,web cam 4k,4k cam,lcd27 inch monitr with stand,lcd27 inch monitr,4k webcam,lcd monitor 27"" viewmaster,datavault external usb drive 1tb,webcam 4k hd,lcd monitor 27 inches",webcam,60.86956521739131,,NEED_APPROVAL
SKU005,"connectpro usb c cable 6ft,wireless gaming headset,webcam 1080p hd officelink,usb-c cable 6 feet long,wirless gaming headset,exteranl hard drive 1tb,usb-c 6ft cable black,usb-c cable,web cam 1080hd offclnk,usb-c cable 6ft,datavault usb-c cable 6 ft,webcam 1080p hd,techflow gaming headset,datavault harddrive 1tb,wreless gaming headset,external hard drive - 1tb,usb-c cable - 6ft",usb c cable,90.0,usb c cable,AUTO
SKU006,"proconnect gaming headset wireless,external driv,webcam hd officelink,wireless gaming headset proconnect,external 1tb drive,1tb external drive datavault,10ft hdmi cable - connectpro,hd webcam by offlk,webcam hd, 1080p,gaming headset wireless proconnct,datavault 1tb external drive,1 tb external drive,hd webcam 1080p,officelink hd webcam",tb external drive,58.82352941176471,,NEED_APPROVAL
SKU007,"hdmi adapter,mechanical keyboard blue swthes tf,wireless headset (gaming),wireless headset-gaming,rgb mechnical keybord,wireless gaming headseat,adapter hdmi,mechanical keyboard techflow blue switches,gaming wireless headset proconnect,4k webcam - brand new,wireless gaming headset,pro connect webcam 4k resolution,hdmi adaptior,mechanical rgb keyboard",wireless headset gaming,82.05128205128204,,NEED_APPROVAL
SKU008,"connectpro mech keyboard compact,lcd 27 inch monitor v-master,mechanical keyboard compact,lcd monitor 27inch viewmaster,4k monitor 27in - viewmaster,office headset wired,mechanical keyboard-compact,usb drive: 64gb,viemaster 27 inch monitor,mech keybrd,usb 64gb drive,64gb usb drive,usb drive, 64gb,64gb usb - techflow",mech keyboard,60.86956521739131,,NEED_APPROVAL
SKU009,"adapter 4k hdmi,hdmi cable 10ft pack connectpro,2m hdmi cable - connectpro,adapter hdmi capable of 4k,hdmi cable - 10ft pk connpr,flash drive 256 gigabytes data vault,office hedset wired,4k hdmi adapter,office headxet wired,256gb usb drive - datavault,hdmi adapter - 4k,office headset wired,office head set wired,adapter hdmi 4k",adapter hdmi,88.88888888888889,,NEED_APPROVAL
SKU010,"32gb usb drv,32 inch lcd monitor viewmaster,office headset noise cancelling,external ssd drive 512gb dvault,1tb external hard drive,usb drv 32gb,32 inch monitor - viewmaster,datavault ssd drive 512gb,officelink nc headset,32gb usb drive,monitor lcd 32"",32"" lcd monitor,usb drive 32 gigabyte,usb drive 32gb,lcd monitor 32inch",monitor lcd,66.66666666666667,,NEED_APPROVAL
SKU011,"compact keyboard, wireless,officelink compact kbd wireless",compact keyboard wireless,78.04878048780488,,NEED_APPROVAL
SKU012,lcd monitor 22 inch,lcd monitor inch,77.41935483870968,,NEED_APPROVAL
SKU013,15ft ethernet cable,ethernet cable,84.84848484848484,ethernet cable,AUTO
SKU014,"proconnect gaming headset wifi,gaming headset, wireless",gaming headset wireless,75.67567567567568,,NEED_APPROVAL
SKU015,32 inch lcd monitor view master,inch lcd monitor view master,62.22222222222222,,NEED_APPROVAL
SKU016,usb-c to hdmi adapter - 4k,usb c hdmi adapter,72.72727272727273,,NEED_APPROVAL
SKU017,"techflow mechanical kbd blue swtch,techflow mechanical keyboard blue switch",techflow mechanical kbd blue switch,71.69811320754718,,NEED_APPROVAL
SKU018,officelink wired headset,officelink wired headset,85.71428571428572,officelink wired headset,AUTO
SKU019,512gb external ssd data vault,external ssd data vault,65.11627906976744,,NEED_APPROVAL
SKU020,"4k monitor 27""",monitor,70.0,,NEED_APPROVAL
SKU101,"wireless keyboard black,techflow wireless keyboard black,wireless keybord blck,wireless keyboard techflow,wireless kbrd blck,wireless keyboard & mouse set,techflow: brand new wireless keyboard black,wireless keyboard by techflow,wireless keyboard techflow black,techflow wireless kb black,wireless & keyboard black - tf,techflow wireless mechanical keyboard black,tf wireless keyboard black,tf black wireless kb,tf black wireless keyboard,tf wireless keyboard,brand new wireless black keyboard,wirless kyeboard black",tf wireless keyboard,91.89189189189189,tf wireless keyboard,AUTO
SKU102,"monitor 24"" led  viewmaster,viewmaster led monitor 24"",24"" led monitor,connectpro 24"" led monitor,led monitor 24 inch,led mon 24in, connectpro,techflow led monitr 24',24 inch lcd monitr,24"" led monitor - viewmaster,viewmaster led monitor 24in,24 inch led monitor viewmaster,connectpro 24 in led monitr,tf 24in led monitor,led monitor 24"" viewmaster,viewmaster led monitr 24in,viewmstr monitor 24in,viewmaster 24in led monitor,viewmaster lcd moniter 24 inch,viewmaster 24"" led monitor,connectpro led24"" monitor",led monitor,88.0,led monitor,AUTO
SKU103,"usb-c cable â€“ 6ft,usb-c cable - 6ft,hdmi cabl 6'' connectpro,usb-c cale, 6f,hdmi cable 6 feet connectpro,6 ft usb-c cable connectpro,usb-c cable & lamp,usb-c cable 6 ft pack,usb-c 6ft cable - viewmaster,usb-c 6feet cabl,usb c cable 6ft connectpro,usb-c cable 6"",connectpro hdmi cable 6ft,usb-c cable 6ft,dvlt 6ft cable pack,connectpro usb-c cable - 6ft,usb-c cable, 6ft pack",usb c cable,81.81818181818181,usb c cable,AUTO
SKU104,"datavault 4k cam,hd webcam 1080p techflow,4k webcam hd1080p datavault,usb-c hdmi adapter by dv,4k webcam hd 1080p,techflow hdmi usb-c adapter,datavault hd webcam 1080p,hd webcam,4k webcam w/ hd data vault,hd webcam 1080p,4k webcam hd,datavault hd webcam,officelnk hd webcam full hd 1080p,datavault hd webkami 1080p,webcam 4k hd,hd webcam 1080p  datavault,1080p web camera officelink,datavault 4k webcam,hd web camera 1080p,usb-c adapter techflow to hdmi",hd webcam,100.0,hd webcam,AUTO
SKU105,"1080p hd webcam techflo,officelink wireless headset,officelink wirless hdset,wireless headset (gaming) & speakers,headset offcelink wirless,gaming headset wireless,procnect wired gaming headset,wireless headset over-ear,officelink gaming headset wireless,office link headset,ol gaming headset wireless,hd 1080 webcam officelink,proconnect gaming headset wireles,wireless gaming headset,techflow webcam hd 1080p,officelink gaming headset, wireless",wireless headset ear,88.88888888888889,wireless headset ear,AUTO
SKU106,"usb-c to hdmi adapter,usb-c to hdmi adapter proconnect,usb-c to hdmi adapter - 4k,gaming wireless headset,connectpro usb-c adaptr to hdmi 4k,techflow usb-c to hdmi adapter  compact,usb-c hdmi adapter 4k,hdmi adapter, usb-c,hdmi adapter usb-c to hdmi,usb-c to hdmi adapter 4k,proconnect usb-c to hdmi,usb-c to hdmi adptr - connectpro,wireless gaming headset proconnect,usb-c to hdmi 4k adapter - proconnect,proconnect headset gaming wireless",usb c hdmi adapter,61.53846153846154,,NEED_APPROVAL
SKU107,"rgb mechanical keyboard full size,external drive 1tb,mechanical keyboard techflow,datavult ext drive 1tb,mech. keyboard rgb,techflow external ssd - 1tb,external ssd techflow 1tb,external usb drive, 1tb - datavault,techflow mech keyboard,techflow mech. keyboard rgb,1tb ext. usb drive,techflow 1tb ext drive,techflow keyboard mechanical,techflow mehanical keyboard rgb,tech flow external hard drive 1 t b,rgb mechanical kb full-size",techflow mech keyboard,87.17948717948718,techflow mech keyboard,AUTO
SKU108,"compact viewmaster lcd monitor,mechanical keyboard rgb,mechanical keyboard compact,mechanical keybord rbg,ethernet cable 10 ft pack,lcd monitor 27 inch,viewmaster lcd monitor 27in,tf rgb mech kb,lcd monitor - 27 inch,lcd viewmaster monitor 27"",27"" lcd monitor - viewmaster,27 inch lcd viewmast monitor,mech keyboard wired connectpro,viewmaster lcd monitr 27 inch,wired mechanical keyboard,viewmaster lcd monitor 27inch,lcd monitor - 27""",lcd monitor,88.0,lcd monitor,AUTO
SKU109,"proconnect ethernet cable 10ft,connectpro ethernetcable 10ft,27"" lcd monitr,ethernet cable 10 ft,connectpro gaming headset red,connectpro eth cable 10',ethernet cabl 10ft,20ft connectpro cable displayport,viewmaster lcd 27in,displayport connectpro cable 10ft,ethernet cabk 10ft,lcd monitor 27 inch,gaming headset  connectpro,gaming headset connectpro,displyport cable 10 ft connectpro,lcd monitor 27"" viewmaster,tf enet cable packet 10ft",connectpro eth cable,82.05128205128204,connectpro eth cable,AUTO
SKU110,"ethernet cable - 10ft,datavault usb drive 32gb,datavault 64gb usb flash drive,1tb external hard drive portable,data vault external hard drive,4k webcam wide-angle office lnk,10ft ethernet cable, datavault,64gb usb flash drive data vault,external hard drive 1tb,32gb usb datavault drive,1tb extern harddrive,32gb usb drive dv,datavault 1tb ext hard drrv,datavault ethernet cable 10 ft,4k webcam wide angle",datavault usb drive,76.92307692307692,,NEED_APPROVAL
SKU111,"ultra hd 4k webcam  officelink,datvault 4k 27 inch monitor,officelink wired headset,4k webcam (ultra hd)  officelink,wire headset officelink,datavault 27"" 4k monitor,wireless earbuds officelink,27"" 4k,officelink wireless earbuds",wired headset officelink,60.46511627906976,,NEED_APPROVAL
SKU112,"connectpro dp cable 3ft,proconnect ethernet cable cat6 15 ft,bluetooth headset for office,proconnect ethernet cable cat 6 15ft,office bluetooth headset,cable displayport 3f proconnect",cable displayport proconnect,68.08510638297872,,NEED_APPROVAL
SKU113,"proconnect wireless earbuds white,techflow kb compact,proconnect wireless ear-buds,wireless earbuds & white > proconnect,proconnect usb-c hub, 7 port,techflow rgb mechnical keybord,techflow rgb mechanical keyboard,techflow compact keyboard,usb-c hub - 7 ports, proconnect",techflow kb compact,68.42105263157895,,NEED_APPROVAL
SKU114,"viewmaster 22"" lcd,portable ssd 512gb,4k led monitor 32"" viewmaster,viewmaster hd webcam & 720p,22 inch viewmaster lcd mon,viewmaster 720p hd webcam,viewmaster 4k monitor 32"",512 gb portable ssd,viewmaster 22 inch lcd monitor",viewmaster monitor,85.71428571428572,viewmaster monitor,AUTO
SKU115,"hdmi cable 9ft connectpro,wired optical mouse - officelink,ergonomic wireless mouse & keyboard,wired mouse officelink optical,usb-c 3 foot cable connectpro,usb-c cable connectpro 3 ft,ergonomic wirless mouse & keybord,wired mouse  officelink",usb c foot cable connectpro,62.22222222222222,,NEED_APPROVAL
SKU116,"datavault usb drive 64gb,external drive 1tb datavault,datavault 2tb ext hdd,1tb external hdd datavault,datavault usb drive - 64gb,datavault external hdd 2tb,hdmi cable 15 ft,datavault hdmi 15 ft cable",external hdd datavault,81.81818181818181,,NEED_APPROVAL
SKU117,"webcam 4k officelink,officelink wired office headset,officelink webcam 4k resolution,wide angle conference webcam,officelink wide angle webcam",webcam officelink,91.89189189189189,webcam officelink,AUTO
SKU118,"proconnect usb-c charger 45w,5.1 surround gaming headset,pro connect gaming headset 5.1 suround,proconnect wired headset office,proconnect headset wired",proconnect headset wired,85.71428571428572,proconnect headset wired,AUTO
