sku_id,raw_names,match_name,match_score,final_sku_name,decision
SKU001,"wireless keyboard black,techflow keybord wireles black,brand new wireless keyboard black,techflow wireless keyboard,wireless keybord black tf,wireless keyboard - black,techflow wireless keyboard black,wireless keybord black,tf wireless keybord black,wireless keyboard,wireless keyboard black techflow,tf wireless kb black,wordpress wireless kayboard,wireless kb black,wireless kb, black (tf)",wireless keyboard,100,wireless keyboard,AUTO
SKU002,"24"" led monitor viewmaster,wired mechanical keyboard,wired keyboard of mechanical,mechanical keyboard wired,tech flow mechanical kbd rgb,mechanical keyboard - rgb backlit,keyboard mechanical wired techflow,led monitr 24in tech vlmaster,wired mechanical keyboard - blue switches,24 inch led monitor,led monitor 24in - viewmaster,led monitor  24inch,led monitr 24"",24 inch led mon,monitor 24"" led - viewmaster",wired mechanical keyboard,66.66666667,24 inch led monitor,APPROVED
SKU003,"usb-c cable - 6ft,led monitor 24 inch, black,24 led inch monitor,24"" led monitor  viewmaster,usb-c cable pack,usb-c cable 6ft connectpro,viewmaster led monitor 24in,1m usb-c cable,usb-c cable connectpro 6ft,connectpro 24 led monitor black,usb c cable - 6 ft connpro,24"" led monitor,usb c cable - 200cm,usb-c cabel - 2m,connectpro usb-c cable - 1m,24 inch led monitor",usb c cable,78.26086957,usb-c cable - 6ft,APPROVED
SKU004,"datavault external usb drive 1tb,webcam 4k hd,4k cam,lcd27 inch monitr with stand,27-inch led monitor,web cam 4k,4k webcam viewmaster,lcd monitor 27 inches,lcd27 inch monitr,4k webcam,lcd monitor 27"" viewmaster,hd webcam 4k,monitor lcd 27 inch view,webcam viewmaster 4k,external usb drive datavault 1tb",webcam,60.86956522,27-inch led monitor,APPROVED
SKU005,"usb-c cable 6 feet long,wreless gaming headset,external hard drive - 1tb,techflow gaming headset,web cam 1080hd offclnk,usb-c cable 6ft,datavault usb-c cable 6 ft,exteranl hard drive 1tb,usb-c 6ft cable black,usb-c cable - 6ft,datavault harddrive 1tb,usb-c cable,connectpro usb c cable 6ft,wireless gaming headset,webcam 1080p hd officelink,wirless gaming headset,webcam 1080p hd",usb c cable,90,usb c cable,AUTO
SKU006,"proconnect gaming headset wireless,webcam hd officelink,wireless gaming headset proconnect,external 1tb drive,1tb external drive datavault,hd webcam 1080p,hd webcam by offlk,datavault 1tb external drive,webcam hd, 1080p,gaming headset wireless proconnct,10ft hdmi cable - connectpro,officelink hd webcam,1 tb external drive,external driv",tb external drive,58.82352941,,NEED_APPROVAL
SKU007,"hdmi adapter,wireless gaming headseat,mechanical keyboard blue swthes tf,wireless headset (gaming),wireless headset-gaming,4k webcam - brand new,pro connect webcam 4k resolution,adapter hdmi,mechanical keyboard techflow blue switches,mechanical rgb keyboard,hdmi adaptior,rgb mechnical keybord,wireless gaming headset,gaming wireless headset proconnect",wireless headset gaming,82.05128205,mechanical keyboard blue switches,APPROVED
SKU008,"mechanical keyboard-compact,usb drive, 64gb,64gb usb - techflow,mech keybrd,usb 64gb drive,64gb usb drive,usb drive: 64gb,viemaster 27 inch monitor,lcd monitor 27inch viewmaster,office headset wired,4k monitor 27in - viewmaster,lcd 27 inch monitor v-master,mechanical keyboard compact,connectpro mech keyboard compact",mech keyboard,60.86956522,viemaster 27 inch monitor,APPROVED
SKU009,"office head set wired,4k hdmi adapter,office headxet wired,adapter 4k hdmi,hdmi cable - 10ft pk connpr,256gb usb drive - datavault,hdmi cable 10ft pack connectpro,adapter hdmi 4k,hdmi adapter - 4k,office headset wired,2m hdmi cable - connectpro,adapter hdmi capable of 4k,flash drive 256 gigabytes data vault,office hedset wired",hdmi adapter,88.88888889,4k hdmi adapter,APPROVED
SKU010,"office headset noise cancelling,32gb usb drive,external ssd drive 512gb dvault,usb drive 32 gigabyte,usb drive 32gb,1tb external hard drive,usb drv 32gb,monitor lcd 32"",lcd monitor 32inch,32"" lcd monitor,datavault ssd drive 512gb,officelink nc headset,32 inch monitor - viewmaster,32gb usb drv,32 inch lcd monitor viewmaster",monitor lcd,66.66666667,,NEED_APPROVAL
