sku_id,canonical_description,canonical_brand,canonical_unit,canonical_size,category,is_active,created_date,updated_date
SKU001,TechFlow Wireless Keyboard Black,TechFlow,each,,Keyboards,False,2025-01-01,2025-01-31
SKU001,Wireless Keyboard Black,TechFlow,each,Standard,Keyboards,False,2025-01-01,2025-03-02
SKU001,Wireless Keyboard Black,TechFlow,each,104 keys,Keyboards,False,2025-01-01,2025-04-01
SKU001,Wireless keyboard black TechFlow,TechFlow,each,Standard,Keyboards,False,2025-01-01,2025-05-01
SKU001,Wireless Keyboard - Black,TechFlow,each,standard,Keyboards,False,2025-01-01,2025-05-31
SKU001,Wireless Keyboard,TechFlow,each,full-size,Keyboards,False,2025-01-01,2025-06-30
SKU001,TechFlow wireless keyboard,TechFlow,each,full-size,Keyboards,True,2025-06-30,2025-07-01
SKU002,Mechanical Keyboard - RGB Backlit,TechFlow,each,,Keyboards,False,2025-01-01,2025-01-31
SKU002,Wired Mechanical KeyBoard,TechFlow,each,Full,Keyboards,False,2025-01-01,2025-03-02
SKU002,Mechanical Keyboard Wired,TechFlow,each,Full-size,Keyboards,False,2025-01-01,2025-04-01
SKU002,LED Monitor 24in - ViewMaster,ViewMaster,each,"24""",Monitors,True,2025-04-01,2025-07-01
SKU003,24 inch LED Monitor,ConnectPro,each,24,Monitors,False,2025-01-01,2025-01-31
SKU003,1m USB-C cable,ConnectPro,each,1m,Cables,False,2025-01-01,2025-03-02
SKU003,USB-C Cable 6ft ConnectPro,ConnectPro,each,6ft,Cables,False,2025-01-01,2025-04-01
SKU003,USB-C CABLE CONNECTPRO 6FT,ConnectPro,pack,6 feet,Cables,True,2025-04-01,2025-07-01
SKU004,27-inch LED Monitor,ViewMaster,each,,Monitors,False,2025-01-01,2025-01-31
SKU004,HD Webcam 4k,OfficeLink,each,4K resolution,Webcams,False,2025-01-01,2025-03-02
SKU004,DataVault External USB Drive 1TB,DataVault,each,,Storage,False,2025-01-01,2025-04-01
SKU004,4K webcam,ViewMaster,each,1080p resolution,Webcams,True,2025-04-01,2025-07-01
SKU005,USB-C Cable 6 Feet Long,ConnectPro,each,,Cables,False,2025-01-01,2025-01-31
SKU005,USB-C cable - 6ft,DataVault,each,6ft,Cables,False,2025-01-01,2025-03-02
SKU005,Usb-c 6ft cable black,DataVault,each,6 ft,Cables,False,2025-01-01,2025-04-01
SKU005,USB-C Cable 6ft,DataVault,each,6,Cables,False,2025-01-01,2025-05-01
SKU005,DataVault Usb-c cable 6 ft,DataVault,each,6 foot,Cables,False,2025-01-01,2025-05-31
SKU005,External Hard Drive - 1TB,DataVault,each,1TB,Storage,False,2025-01-01,2025-06-30
